metric_date,run_id,city,pollutant,total_records,null_rate,duplicate_rate,stale_rate,outlier_rate,flagged_rate,rejected_rate,pass_rate,quality_status
2024-07-16,run_4168eefe,apba,co,910,0.0,0.0,0.0,0.0,0.0,0.0,1.0,pass
2024-07-31,run_4168eefe,apba,co,909,0.0,0.0,0.0,0.0,0.0,0.0,1.0,pass
2024-08-03,run_4168eefe,apba,co,913,0.0,0.0,0.0,0.0,0.0,0.0,1.0,pass
2024-08-11,run_4168eefe,apba,co,849,0.0,0.0,0.0,0.0,0.0,0.0,1.0,pass
2024-08-12,run_4168eefe,apba,co,872,0.0,0.0,0.0,0.0,0.0,0.0,1.0,pass
2024-08-21,run_4168eefe,apba,co,805,0.0,0.0,0.0,0.0,0.0,0.0,1.0,pass
2024-08-22,run_4168eefe,apba,co,829,0.0,0.0,0.0,0.0,0.0,0.0,1.0,pass
2024-08-29,run_4168eefe,apba,co,828,0.0,0.0,0.0,0.0,0.0,0.0,1.0,pass
2024-09-09,run_4168eefe,apba,co,879,0.0,0.0,0.0,0.0,0.0,0.0,1.0,pass
2024-09-18,run_4168eefe,apba,co,941,0.0,0.0,0.0,0.0,0.0,0.0,1.0,pass
2024-09-28,run_4168eefe,apba,co,352,0.0,0.0,0.0,0.0,0.0,0.0,1.0,pass
2024-10-09,run_4168eefe,apba,co,523,0.0,0.0,0.0,0.0,0.0,0.0,1.0,pass
2024-10-14,run_4168eefe,apba,co,713,0.0,0.0,0.0,0.0,0.0,0.0,1.0,pass
2024-10-23,run_4168eefe,apba,co,781,0.0,0.0,0.0,0.0,0.0,0.0,1.0,pass
2024-10-31,run_4168eefe,apba,co,789,0.0,0.0,0.0,0.0,0.0,0.0,1.0,pass
2024-11-01,run_4168eefe,apba,co,806,0.0,0.0,0.0,0.0,0.0,0.0,1.0,pass
2024-11-08,run_4168eefe,apba,co,990,0.0,0.0,0.0,0.0,0.0,0.0,1.0,pass
2024-11-22,run_4168eefe,apba,co,234,0.0,0.0,0.0,0.0,0.0,0.0,1.0,pass
2024-12-21,run_4168eefe,apba,co,826,0.0,0.0,0.0,0.0,0.0,0.0,1.0,pass
2024-12-28,run_4168eefe,apba,co,811,0.0,0.0,0.0,0.0,0.0,0.0,1.0,pass
2025-01-04,run_4168eefe,apba,co,885,0.0,0.0,0.0,0.0,0.0,0.0,1.0,pass
2025-01-06,run_4168eefe,apba,co,847,0.0,0.0,0.0,0.0,0.0,0.0,1.0,pass
2025-01-15,run_4168eefe,apba,co,892,0.0,0.0,0.0,0.0,0.0,0.0,1.0,pass
2023-01-19,run_4168eefe,apba,no2,547,0.0,0.0,0.0,0.0,0.0,0.0,1.0,pass
2023-01-20,run_4168eefe,apba,no2,532,0.0,0.0,0.0,0.0,0.0,0.0,1.0,pass
2023-01-28,run_4168eefe,apba,no2,542,0.0,0.0,0.0,0.0,0.0,0.0,1.0,pass
2023-07-01,run_4168eefe,apba,no2,659,0.0,0.0,0.0,0.0,0.0,0.0,1.0,pass
2023-07-05,run_4168eefe,apba,no2,712,0.0,0.0,0.0,0.0,0.0,0.0,1.0,pass
2023-07-11,run_4168eefe,apba,no2,596,0.0,0.0,0.0,0.0,0.0,0.0,1.0,pass
2023-07-15,run_4168eefe,apba,no2,1009,0.0,0.0,0.0,0.0,0.0,0.0,1.0,pass
2023-07-20,run_4168eefe,apba,no2,929,0.0,0.0,0.0,0.0,0.0,0.0,1.0,pass
2023-07-29,run_4168eefe,apba,no2,925,0.0,0.0,0.0,0.0,0.0,0.0,1.0,pass
2023-08-02,run_4168eefe,apba,no2,688,0.0,0.0,0.0,0.0,0.0,0.0,1.0,pass
2023-08-21,run_4168eefe,apba,no2,589,0.0,0.0,0.0,0.0,0.0,0.0,1.0,pass
2023-08-23,run_4168eefe,apba,no2,738,0.0,0.0,0.0,0.0,0.0,0.0,1.0,pass
2023-09-17,run_4168eefe,apba,no2,820,0.0,0.0,0.0,0.0,0.0,0.0,1.0,pass
2023-09-26,run_4168eefe,apba,no2,738,0.0,0.0,0.0,0.0,0.0,0.0,1.0,pass
2023-09-29,run_4168eefe,apba,no2,646,0.0,0.0,0.0,0.0,0.0,0.0,1.0,pass
2023-10-01,run_4168eefe,apba,no2,689,0.0,0.0,0.0,0.0,0.0,0.0,1.0,pass
2023-10-02,run_4168eefe,apba,no2,707,0.0,0.0,0.0,0.0,0.0,0.0,1.0,pass
2023-10-05,run_4168eefe,apba,no2,642,0.0,0.0,0.0,0.0,0.0,0.0,1.0,pass
2023-10-20,run_4168eefe,apba,no2,554,0.0,0.0,0.0,0.0,0.0,0.0,1.0,pass
2023-11-04,run_4168eefe,apba,no2,814,0.0,0.0,0.0,0.0,0.0,0.0,1.0,pass
2023-11-24,run_4168eefe,apba,no2,700,0.0,0.0,0.0,0.0,0.0,0.0,1.0,pass
2023-12-11,run_4168eefe,apba,no2,740,0.0,0.0,0.0,0.0,0.0,0.0,1.0,pass
2023-12-24,run_4168eefe,apba,no2,748,0.0,0.0,0.0,0.0,0.0,0.0,1.0,pass
2023-12-28,run_4168eefe,apba,no2,802,0.0,0.0,0.0,0.0,0.0,0.0,1.0,pass
2023-12-30,run_4168eefe,apba,no2,796,0.0,0.0,0.0,0.0,0.0,0.0,1.0,pass
2023-12-31,run_4168eefe,apba,no2,784,0.0,0.0,0.0,0.0,0.0,0.0,1.0,pass
2024-01-03,run_4168eefe,apba,no2,804,0.0,0.0,0.0,0.0,0.0,0.0,1.0,pass
2024-01-05,run_4168eefe,apba,no2,828,0.0,0.0,0.0,0.0,0.0,0.0,1.0,pass
2024-01-06,run_4168eefe,apba,no2,817,0.0,0.0,0.0,0.0,0.0,0.0,1.0,pass
2024-01-08,run_4168eefe,apba,no2,792,0.0,0.0,0.0,0.0,0.0,0.0,1.0,pass
2024-01-15,run_4168eefe,apba,no2,777,0.0,0.0,0.0,0.0,0.0,0.0,1.0,pass
2024-01-16,run_4168eefe,apba,no2,705,0.0,0.0,0.0,0.0,0.0,0.0,1.0,pass
2024-02-01,run_4168eefe,apba,no2,829,0.0,0.0,0.0,0.0,0.0,0.0,1.0,pass
2024-02-06,run_4168eefe,apba,no2,513,0.0,0.0,0.0,0.0,0.0,0.0,1.0,pass
2024-02-18,run_4168eefe,apba,no2,535,0.0,0.0,0.0,0.0,0.0,0.0,1.0,pass
2024-03-07,run_4168eefe,apba,no2,524,0.0,0.0,0.0,0.0,0.0,0.0,1.0,pass
2024-03-12,run_4168eefe,apba,no2,513,0.0,0.0,0.0,0.0,0.0,0.0,1.0,pass
2024-03-16,run_4168eefe,apba,no2,523,0.0,0.0,0.0,0.0,0.0,0.0,1.0,pass
2024-03-17,run_4168eefe,apba,no2,568,0.0,0.0,0.0,0.0,0.0,0.0,1.0,pass
2024-03-23,run_4168eefe,apba,no2,574,0.0,0.0,0.0,0.0,0.0,0.0,1.0,pass
2024-04-05,run_4168eefe,apba,no2,279,0.0,0.0,0.0,0.0,0.0,0.0,1.0,pass
2024-04-06,run_4168eefe,apba,no2,285,0.0,0.0,0.0,0.0,0.0,0.0,1.0,pass
2024-04-21,run_4168eefe,apba,no2,280,0.0,0.0,0.0,0.0,0.0,0.0,1.0,pass
2024-05-15,run_4168eefe,apba,no2,488,0.0,0.0,0.0,0.0,0.0,0.0,1.0,pass
2024-05-28,run_4168eefe,apba,no2,507,0.0,0.0,0.0,0.0,0.0,0.0,1.0,pass
2024-06-04,run_4168eefe,apba,no2,510,0.0,0.0,0.0,0.0,0.0,0.0,1.0,pass
2024-07-21,run_4168eefe,apba,no2,512,0.0,0.0,0.0,0.0,0.0,0.0,1.0,pass
2024-08-04,run_4168eefe,apba,no2,431,0.0,0.0,0.0,0.0,0.0,0.0,1.0,pass
2024-08-06,run_4168eefe,apba,no2,455,0.0,0.0,0.0,0.0,0.0,0.0,1.0,pass
2024-08-08,run_4168eefe,apba,no2,496,0.0,0.0,0.0,0.0,0.0,0.0,1.0,pass
2024-08-18,run_4168eefe,apba,no2,485,0.0,0.0,0.0,0.0,0.0,0.0,1.0,pass
2024-08-23,run_4168eefe,apba,no2,484,0.0,0.0,0.0,0.0,0.0,0.0,1.0,pass
2024-08-27,run_4168eefe,apba,no2,474,0.0,0.0,0.0,0.0,0.0,0.0,1.0,pass
2024-09-05,run_4168eefe,apba,no2,230,0.0,0.0,0.0,0.0,0.0,0.0,1.0,pass
2024-09-14,run_4168eefe,apba,no2,231,0.0,0.0,0.0,0.0,0.0,0.0,1.0,pass
2024-09-16,run_4168eefe,apba,no2,211,0.0,0.0,0.0,0.0,0.0,0.0,1.0,pass
2024-10-01,run_4168eefe,apba,no2,118,0.0,0.0,0.0,0.0,0.0,0.0,1.0,pass
2024-10-17,run_4168eefe,apba,no2,187,0.0,0.0,0.0,0.0,0.0,0.0,1.0,pass
2024-10-18,run_4168eefe,apba,no2,189,0.0,0.0,0.0,0.0,0.0,0.0,1.0,pass
2024-11-08,run_4168eefe,apba,no2,253,0.0,0.0,0.0,0.0,0.0,0.0,1.0,pass
2024-11-18,run_4168eefe,apba,no2,208,0.0,0.0,0.0,0.0,0.0,0.0,1.0,pass
2024-12-15,run_4168eefe,apba,no2,50,0.0,0.0,0.0,0.0,0.0,0.0,1.0,pass
2024-12-19,run_4168eefe,apba,no2,182,0.0,0.0,0.0,0.0,0.0,0.0,1.0,pass
2025-01-01,run_4168eefe,apba,no2,234,0.0,0.0,0.0,0.0,0.0,0.0,1.0,pass
2025-01-12,run_4168eefe,apba,no2,192,0.0,0.0,0.0,0.0,0.0,0.0,1.0,pass
2025-01-18,run_4168eefe,apba,no2,218,0.0,0.0,0.0,0.0,0.0,0.0,1.0,pass
2023-07-04,run_4168eefe,apba,o3,729,0.0,0.0,0.0,0.0,0.0,0.0,1.0,pass
2023-07-11,run_4168eefe,apba,o3,596,0.0,0.0,0.0,0.0,0.0,0.0,1.0,pass
2023-07-29,run_4168eefe,apba,o3,925,0.0,0.0,0.0,0.0,0.0,0.0,1.0,pass
2023-08-02,run_4168eefe,apba,o3,688,0.0,0.0,0.0,0.0,0.0,0.0,1.0,pass
2023-08-05,run_4168eefe,apba,o3,763,0.0,0.0,0.0,0.0,0.0,0.0,1.0,pass
2023-08-08,run_4168eefe,apba,o3,578,0.0,0.0,0.0,0.0,0.0,0.0,1.0,pass
2023-08-11,run_4168eefe,apba,o3,646,0.0,0.0,0.0,0.0,0.0,0.0,1.0,pass
2023-08-12,run_4168eefe,apba,o3,581,0.0,0.0,0.0,0.0,0.0,0.0,1.0,pass
2023-08-14,run_4168eefe,apba,o3,559,0.0,0.0,0.0,0.0,0.0,0.0,1.0,pass
2023-08-15,run_4168eefe,apba,o3,549,0.0,0.0,0.0,0.0,0.0,0.0,1.0,pass
