metric_ts,run_id,city,pollutant,latest_observed_at,latest_ingested_at,freshness_lag_minutes,freshness_status
2026-04-08T17:21:05.330Z,run_4168eefe,torrepacheco,co,2025-09-30T23:59:04.000Z,2026-04-08T16:50:34.858Z,273171.5,stale
2026-04-08T17:21:05.330Z,run_4168eefe,apba,so2,2025-09-30T11:53:44.000Z,2026-04-08T16:50:34.858Z,273896.833,stale
2026-04-08T17:21:05.330Z,run_4168eefe,apba,no2,2025-01-20T10:27:16.000Z,2026-04-08T16:50:34.858Z,638303.3,stale
2026-04-08T17:21:05.330Z,run_4168eefe,torrepacheco,no2,2025-09-30T23:59:04.000Z,2026-04-08T16:50:34.858Z,273171.5,stale
2026-04-08T17:21:05.330Z,run_4168eefe,torrepacheco,o3,2025-09-30T23:59:04.000Z,2026-04-08T16:50:34.858Z,273171.5,stale
2026-04-08T17:21:05.330Z,run_4168eefe,torrepacheco,so2,2025-09-30T23:59:04.000Z,2026-04-08T16:50:34.858Z,273171.5,stale
2026-04-08T17:21:05.330Z,run_4168eefe,apba,co,2025-01-22T10:11:54.000Z,2026-04-08T16:50:34.858Z,635438.667,stale
2026-04-08T17:21:05.330Z,run_4168eefe,apba,o3,2025-01-20T10:27:16.000Z,2026-04-08T16:50:34.858Z,638303.3,stale
